Name,Study Hours,Practice Hours,Sleep Hours,Exam Score
John,4,2,7,85
Emily,5,3,8,92
Michael,6,1,6,78
Sarah,3,2,9,89
David,7,3,7,76
Sophia,5,4,8,94
Daniel,6,2,6,81
Olivia,4,3,7,87
Ethan,3,1,8,72
Ava,7,2,6,95
William,5,4,9,83
Mia,6,3,7,90
James,4,2,8,79
Isabella,5,1,6,91
Liam,3,3,8,75
Charlotte,7,2,7,96
Benjamin,6,4,6,82
Amelia,4,2,9,88
Alexander,3,3,7,77
Harper,7,1,8,93
Henry,5,2,6,84
Evelyn,6,3,7,89
Jack,4,4,8,80
Luna,5,2,6,92
Jackson,6,1,7,76
Aria,3,3,8,85
Sebastian,7,2,6,97
Scarlett,4,4,9,81
Lucas,5,2,7,86
Grace,6,1,6,78
